1520858792426,3
1520880226193,3
1520881594477,3
1520948994951,3
1520966638024,3
1521029643982,3
1521054023648,3
1521065048220,3
1521116049671,3
1521136837677,1
1521201731792,3
1521223297428,3
1521288179293,4
1521309622788,4
1521375629353,4
1521396161759,3
1521460824341,2
1521483116208,4
1521547629833,3
1521637751019,4
1521637761705,4
1521637773136,4
1521641603503,4
1521641638810,4
1521655997360,3
1521724298084,3
1521741767299,4
1521806658805,3
1521829082703,3
1521829125077,3
1521893192280,3
1522067627773,2
1522087668489,3
1522087675346,3
1522087725166,3
1522336474029,4
1522346812207,4
1522411809496,4
1522519257905,3
1522778558463,3
1525122014058,2
1526050597197,3
1526412513474,5
1528405693117,4
1529336791067,3
1529344830459,3
1529433313578,3
1529496055192,3
1529523422495,3
1529604459141,3
1529668978984,4
1529690559153,3
1529779656661,3
1531166580298,3
1532214244087,3
1532264908985,4
